base_state,outs,balls,strikes,event_type,ERV
001,1,0,2,CalledStrike,-0.16666666666666666
001,1,1,0,Ball,-0.23655913978494625
001,1,1,0,CalledStrike,-0.18269230769230768
001,1,1,1,Ball,-0.28773584905660377
001,1,1,1,CalledStrike,-0.13513513513513514
001,1,1,2,Ball,-0.26262626262626265
001,1,1,2,CalledStrike,0.0
001,1,2,0,Ball,-0.06349206349206349
001,1,2,0,CalledStrike,-0.18181818181818182
001,1,2,1,Ball,-0.330188679245283
001,1,2,1,CalledStrike,-0.17391304347826086
001,1,2,2,Ball,-0.35195530726256985
001,1,2,2,CalledStrike,0.0
001,1,3,0,Ball,-0.12903225806451613
001,1,3,0,CalledStrike,-0.2857142857142857
001,1,3,1,Ball,-0.21875
001,1,3,1,CalledStrike,-0.2857142857142857
001,1,3,2,Ball,-0.16326530612244897
001,1,3,2,CalledStrike,0.0
010,1,0,0,Ball,-0.07242339832869081
010,1,0,0,CalledStrike,-0.06468531468531469
010,1,0,1,Ball,-0.09966777408637874
010,1,0,1,CalledStrike,-0.11637931034482758
010,1,0,2,Ball,-0.08582834331337326
010,1,0,2,CalledStrike,-0.125
010,1,1,0,Ball,-0.0847953216374269
010,1,1,0,CalledStrike,-0.12165450121654502
010,1,1,1,Ball,-0.1059322033898305
010,1,1,1,CalledStrike,-0.0660377358490566
010,1,1,2,Ball,-0.09686221009549795
010,1,1,2,CalledStrike,-0.0945945945945946
010,1,2,0,Ball,-0.00816326530612245
010,1,2,0,CalledStrike,-0.10112359550561797
010,1,2,1,Ball,-0.08994708994708994
010,1,2,1,CalledStrike,-0.09740259740259741
010,1,2,2,Ball,-0.1474036850921273
010,1,2,2,CalledStrike,-0.03508771929824561
010,1,3,0,Ball,-0.1574074074074074
010,1,3,0,CalledStrike,-0.140625
010,1,3,1,Ball,-0.1375
010,1,3,1,CalledStrike,-0.12631578947368421
010,1,3,2,Ball,-0.09912536443148688
010,1,3,2,CalledStrike,-0.06451612903225806
011,1,0,0,Ball,-0.29411764705882354
011,1,0,0,CalledStrike,-0.3545816733067729
011,1,0,1,Ball,-0.43478260869565216
011,1,0,1,CalledStrike,-0.35135135135135137
011,1,0,2,Ball,-0.2911392405063291
011,1,0,2,CalledStrike,-0.18181818181818182
011,1,1,0,Ball,-0.29292929292929293
011,1,1,0,CalledStrike,-0.44329896907216493
011,1,1,1,Ball,-0.24404761904761904
011,1,1,1,CalledStrike,-0.3469387755102041
011,1,1,2,Ball,-0.4444444444444444
011,1,1,2,CalledStrike,-0.47619047619047616
011,1,2,0,Ball,-0.1625
011,1,2,0,CalledStrike,-0.4857142857142857
011,1,2,1,Ball,-0.4787234042553192
011,1,2,1,CalledStrike,-0.2608695652173913
011,1,2,2,Ball,-0.5675675675675675
011,1,2,2,CalledStrike,-0.13636363636363635
011,1,3,0,Ball,-0.4857142857142857
011,1,3,0,CalledStrike,-0.3548387096774194
011,1,3,1,Ball,-0.21739130434782608
011,1,3,1,CalledStrike,-0.5714285714285714
011,1,3,2,Ball,-0.4925373134328358
011,1,3,2,CalledStrike,0.0
100,1,0,0,Ball,-0.046661460367044126
100,1,0,0,CalledStrike,-0.0469458522272606
100,1,0,1,Ball,-0.04281225451688924
100,1,0,1,CalledStrike,-0.03533026113671275
100,1,0,2,Ball,-0.04851004851004851
100,1,0,2,CalledStrike,-0.06837606837606838
100,1,1,0,Ball,-0.045077105575326216
100,1,1,0,CalledStrike,-0.039777983348751156
100,1,1,1,Ball,-0.06337599024984765
100,1,1,1,CalledStrike,-0.026465028355387523
100,1,1,2,Ball,-0.06633906633906633
100,1,1,2,CalledStrike,-0.011111111111111112
100,1,2,0,Ball,-0.009242144177449169
100,1,2,0,CalledStrike,-0.045662100456621
100,1,2,1,Ball,-0.07894736842105263
100,1,2,1,CalledStrike,-0.047619047619047616
100,1,2,2,Ball,-0.10258780036968576
100,1,2,2,CalledStrike,-0.006097560975609756
100,1,3,0,Ball,-0.0783132530120482
100,1,3,0,CalledStrike,-0.08080808080808081
100,1,3,1,Ball,-0.06985294117647059
100,1,3,1,CalledStrike,-0.09202453987730061
100,1,3,2,Ball,-0.10294117647058823
100,1,3,2,CalledStrike,-0.014814814814814815
