batter,n_swings,launch_speed_mean,launch_speed_std,launch_speed_median,launch_speed_p95,pct_hard_hit,launch_angle_mean,launch_angle_std,bat_speed_mean,bat_speed_std,swing_length_mean,attack_angle_mean,swing_path_tilt_mean,intercept_ball_minus_batter_pos_x_inches_mean,intercept_ball_minus_batter_pos_y_inches_mean,attack_direction_mean,cluster
621438,257,85.89439999999999,16.228544954040125,89.8,105.255,0.3463035019455253,18.768,26.769921381338644,69.72543859649123,6.991313822864862,7.358333333333333,5.960684769897331,32.098321775043615,34.71384681938154,29.279459203228573,355.1025701770014,3
621439,354,92.56883852691217,14.616395800742602,96.2,110.34,0.53954802259887,17.770538243626063,28.37804917526153,75.4359649122807,4.861129453609277,7.836842105263157,12.59400702824123,33.47919462210345,37.93830073294328,26.672444199843643,357.87164203469246,0
621493,425,90.34808612440192,13.907503923891033,92.95,107.215,0.4258823529411765,17.892344497607656,27.559404140881952,69.65896739130434,4.468390467744599,7.080163043478261,8.918251382262012,32.2580332833616,35.084636664532034,33.78634332339223,357.40626357110307,1
621512,32,85.275,16.600136027425563,90.44999999999999,103.155,0.34375,11.09375,29.946575414097985,68.608,4.347884543085294,7.6160000000000005,13.802461539555829,30.931806009997057,38.7561282527656,25.41559955501197,4.0894463056582495,4
621566,467,93.32582781456954,13.480811322989384,96.3,110.03999999999999,0.5182012847965739,14.83664459161148,27.54448982445994,74.44562647754137,5.063302925381691,7.494089834515367,8.752316857943246,34.11408339426464,38.00072673928469,33.301223549318514,1.239417257865338,0
622268,16,89.5,19.471817240993886,97.3,102.42,0.4375,-7.076923076923077,25.16101991328895,60.25714285714286,20.463125954006237,5.685714285714285,-6.577681514032233,35.55344088461522,37.90529140097279,28.086431842759122,1.1558097197415658,2
622534,25,83.32857142857144,15.62258438470226,84.3,105.0,0.2,15.095238095238095,28.225705946715944,69.15625,5.464304621816029,6.9125,1.192687416369433,29.35589049051235,34.81146495769755,29.97061391736978,1.1082545571839524,3
622569,40,88.5,15.28295619309301,91.7,102.55999999999999,0.35,11.636363636363637,32.74696377320554,68.89999999999999,5.48063785561022,7.229166666666667,6.173068085468324,28.230241650192056,37.86219214076877,28.291523048628303,1.4420799348361262,4
622761,55,85.32244897959184,15.80749117383541,90.6,102.46000000000001,0.32727272727272727,9.775510204081632,29.685339609900065,71.8531914893617,4.930819275070242,7.504255319148936,7.836351597903084,28.625840541305134,35.15122399998929,29.28398628239969,359.0198496198627,4
623168,131,80.21846153846154,19.674600099815414,85.25,101.065,0.21374045801526717,15.184615384615384,32.65648898927652,62.932478632478634,13.954574265858131,6.5606837606837605,-0.06367528205189826,30.270781797551756,39.09611422070203,31.420528863293292,352.42084017396274,2
623993,154,89.38104575163398,14.231570500096211,91.7,106.48,0.4025974025974026,19.61437908496732,32.45262218401629,71.95766423357665,5.087885303052752,7.070802919708029,5.404073800158738,24.27537969448792,36.291805467171216,31.855953866519446,354.7735605713289,4
