batter,name
649966,Luis Urías
650333,Luis Arraez
650391,Eloy Jiménez
650402,Gleyber Torres
650489,Willi Castro
650490,Yandy Díaz
650559,Bryan De La Cruz
650859,Luis Rengifo
650907,René Pinto
650968,Yohel Pozo
651016,Matthew Lloyd
655316,Andruw Monasterio
656180,Riley Adams
656185,Greg Allen
656248,Sean Bouchard
656305,Matt Chapman
656413,Stuart Fairchild
656484,Tristan Gray
656537,Derek Hill
656541,Samuel Hilliard
656555,Rhys Hoskins
656577,Alexander Jackson
656582,Connor Joe
656627,Mark Kolozsvary
656716,Zachary McKinstry
656775,Boyce Mullins
656811,Ryan O'Hearn
656883,Jakson Reetz
656896,Emmanuel Rivera
656941,Kyle Schwarber
656976,Pavin Smith
657041,Lane Thomas
657077,Alexander Verdugo
657088,Forrest Wall
657136,Connor Wong
657247,Brian O'Keefe
657557,Paul DeJong
657656,Ramón Laureano
657757,Gavin Sheets
660162,Yoán Moncada
660271,Shohei Ohtani
660613,Ronaldo Hernández
660644,Vidal Bruján
660670,Ronald Acuña
660688,Keibert Ruiz
660710,Rodolfo Durán
660757,Oscar Gonzalez
660766,Juan Yepez
660821,Jesús Sánchez
660844,Leonardo Rivas
661388,William Contreras
662139,Daulton Varsho
663330,Jahmai Jones
663368,Blake Perkins
663457,Lars Nootbaar
663536,Tristin English
663538,Nicholas Hoerner
663584,Hayden Senger
663586,Michael Riley
663604,Brandon Lockridge
663609,Luken Baker
663616,Trevor Larnach
663624,Ryan Mountcastle
663647,Ke'Bryan Hayes
663656,Kyle Tucker
663662,Dazmon Cameron
663697,Jonathan India
663698,Joseph Bart
663714,Matthew Kroon
663728,Caleb Raleigh
663731,Connor Kaiser
663743,Nicholas Fortes
663757,Trenton Grisham
663796,Robert Montes
663837,Matthew Vierling
663853,Roman Gonzalez
663886,Tyler Stephenson
663897,Lucas Williams
663898,Brendan Rodgers
663905,Travis Blankenhorn
663967,César Salazar
663968,Jake Mangum
663993,David Lowe
664023,Ian Happ
664034,Tyler France
664040,Brandon Lowe
664056,Harrison Bader
664059,Samuel Haggerty
664068,Scott Kingery
664238,Dylan Moore
664332,Moises Gomez
664670,Jesus Lopez
664702,Myles Straw
664728,Kyle Isbel
664761,Alec Bohm
664770,Nathan Lukes
664774,LaMonte Wade
664874,Bernardo Zavala
664913,Seth Brown
664954,Brett Sullivan
664983,Jacob McCarthy
665019,Kody Clemens
665052,Griffin Conine
665155,Nicholas Maton
665161,Jeremy Peña
665487,Fernando Tatis
665489,Vladimir Guerrero
665561,Rafael Marchán
665742,Juan Soto
665750,Leody Taveras
665782,Luis De Los Santos
665804,Miguel Amaya
665828,Oswaldo Cabrera
665833,Oneil Cruz
665839,Enmanuel Valdez
665846,Jesús Bastidas
665856,Jair Camargo
665861,Sebastián Rivero
665862,Jasrado Chisholm
665877,José Fermín
665923,Esteury Ruiz
665926,Andrés Giménez
665953,Andrés Chaparro
665966,Carlos Narváez
665998,Ismael Munguia
666018,Jonathan Aranda
666023,Freddy Fermin
666126,Carlos Cortes
666134,Nolan Jones
666139,Joshua Lowe
666149,Tyler Fitzgerald
666150,Dominic Fletcher
666152,David Hamilton
666158,Gavin Lux
666160,McKenzie Moniak
666163,Benjamin Rortvedt
666165,Blake Sabol
666176,Jordon Adell
666177,Carter Aldrete
666181,William Benson
666182,Bo Bichette
666183,Hunter Bishop
666185,Dylan Carlson
666194,Cooper Johnson
666198,Carter Kieboom
666211,Taylor Trammell
666310,Noah Naylor
666397,Edouard Julien
666464,Jerar Encarnacion
666624,Christopher Morel
666632,Yonathan Perlaza
666703,Eguy Rosario
666801,Rodolfo Castro
666915,Robert Dalbec
666931,Jared Oliva
666969,Jose García
666971,Lourdes Gurriel
667240,Jason Matthews
667452,Corey Julks
667472,Dane Myers
667670,Terry Rooker
667690,Cameron Stubbs
668227,Randy Arozarena
668472,Nicholas Pratto
668663,Felipe Barrera
668664,Chase Strumpf
668670,Jacob Rogers
668709,Jeffrey Bleday
668715,Spencer Steer
668721,Payton Henry
668723,Ryan Vilade
668731,Akil Baddoo
668751,Calvin Mitchell
668752,Robert Ellis
668791,Anthony Prato
668800,Andrew Knizner
668804,Bryan Reynolds
668843,Michael Capel
668845,Aaron Schunk
668853,Austin Shenton
668860,Kale Emshoff
668885,Christopher Martin
668901,Mark Vientos
668904,Royce Lewis
668930,Brice Turang
668939,Adley Rutschman
668942,Joshua Rojas
668952,Ryan Kreidler
668974,Maverick Handley
669002,Connor Scott
669003,Garrett Mitchell
669004,Mervyl Melendez
669016,Brandon Marsh
669065,Kyle Stowers
669087,Samuel Huff
669127,Shea Langeliers
669134,Luis Campusano
669137,Armando Alvarez
669194,Ryne Nelson
669200,Mason McCoy
669208,Ryan Bliss
669219,Je'Von Ward
669221,Sean Murphy
669224,Austin Wells
669234,Justyn-Henry Malloy
669236,Jeremiah Jackson
669242,Thomas Edman
669256,Nicholas Solak
669257,William Smith
669261,Jack Suwinski
669288,Daniel Johnson
669289,Santiago Espinal
669304,Jose Miranda
669326,Bryce Teodosio
669357,Nolan Gorman
669364,Xavier Edwards
669369,Bryce Johnson
669374,Keston Hiura
669384,Raynel Delgado
669392,Samad Taylor
669394,Jacob Burger
669397,Nicholas Allen
669398,Gage Workman
669413,Frainyer Chavez
669450,Cooper Hummel
669477,Casey Schmitt
669699,Braden Shewmake
669701,Josh Smith
669707,Jared Triolo
669717,Will Wilson
669720,Austin Hays
669722,Logan Davidson
669742,Darick Hall
669743,Alex Call
669911,Michael Toglia
670032,Nicholas Lopez
670042,Lucas Raley
670092,Trenton Brooks
670097,Zachary Short
670148,Nathan Mondou
670156,Miles Mastrobuoni
670223,Matthew Mervis
670224,Kameron Misner
670231,John Rave
670232,Ramon Rodriguez
670242,Matthew Wallner
670276,Cal Stevenson
670541,Yordan Alvarez
670623,Isaac Paredes
670712,Michael Brosseau
670764,Taylor Walls
670770,Terry Friedl
670867,Kevin Maitan
670868,Abrahan Gutierrez
670869,Livan Soto
671056,Ivan Herrera
671083,Clifton Kennedy
671117,Darren Baker
671155,Vincent Johnson
671213,Triston Casas
671218,Heliot Ramos
671221,Andrew Waters
671272,David García
671277,Luis García
671284,Timothy Elko
671286,Johnathan Rodríguez
671289,Tyler Freeman
671655,George Valera
671732,Lawrence Butler
671739,Michael Harris
671913,Damiano Palmegiani
671956,Noah Myers
671976,Tristan Peters
672012,Tyler Black
672013,Tyrell Schofield-Sam
672016,Denzel Clarke
672275,Patrick Bailey
672279,Michael Siani
672284,Jarred Kelenic
672356,Gabriel Arias
672359,Tirso Ornelas
672373,Jeferson Morales
672386,Alejandro Kirk
672515,Gabriel Moreno
672537,Dalvy Rosario
672569,Gustavo Campero
672580,Maikel Garcia
672613,Eliezer Alfonzo
672640,Otto Lopez
672642,Steward Berroa
672695,Geraldo Perdomo
672696,Francisco Acuna
672724,Oswald Peraza
672744,Alexander Canario
672761,Wenceel Pérez
672820,Lenyn Sosa
673237,Yainer Diaz
673357,Luis Robert
673490,Ha-Seong Kim
673548,Seiya Suzuki
673962,Joshua Jung
673995,Davis Wendzel
674441,Jacob Hurtubise
674951,Nick Podkul
675085,Jonathon Long
675394,John Olmstead
675430,Carlos Rodriguez
675448,Blake Hunt
675628,Darius Hill
675662,Matthew Whatley
675910,Chris Williams
675915,David Bañuelos
675961,Alexander Williams
675994,Devonte Brown
676024,Donta' Williams
676038,Skyler Messinger
676044,Robert Seymour
676045,Noah Martin
676059,Jordan Westburg
676063,Shane McGuire
676070,Jacob Amaya
676113,Zachary DeLoach
676116,Ryan Noda
676280,Tyler Dearden
676356,Jonathan DeLuca
676369,Nelson Velázquez
676391,Ernie Clement
676439,Hunter Feduccia
676463,Hayden Cantrelle
676466,Jack Winkler
676475,Alec Burleson
676480,José Barrero
676551,Charles Hicklen
676572,Eric Wagaman
676609,José Caballero
676632,Bligh Madris
676679,Luis Vázquez
676694,Jacob Meyers
676701,Alan Trejo
676724,Jared Young
676801,Chas McCormick
676812,Carson McCusker
676914,Davis Schneider
676939,James Herron
676946,Matthew Batten
677007,Joshua Breaux
677008,Heston Kjerstad
677049,Joshua Hatcher
677060,Chad Stevens
677338,Glenallen Hill
677342,Brock Jones
677347,Kyren Paris
677565,Kristian Robinson
677587,Brayan Rocchio
677588,José Tena
677592,Everson Pereira
677594,Julio Rodríguez
677595,Ronny Mauricio
677605,Luis Verdugo
677649,Ezequiel Duran
677800,Wilyer Abreu
677870,Leonardo Jimenez
677941,Jordyn Adams
677942,Blaze Alexander
677943,William Banfield
677950,Alek Thomas
677951,Robert Witt
677954,Jordan Groshans
677956,Rece Hinds
678009,Parker Meadows
678010,Nicholas Schnell
678011,Anthony Seigler
678099,Gavin Logan
678173,David McCabe
678218,Brandon Valenzuela
678225,Ji Hwan Bae
678232,Jesus Valdez
678246,Miguel Vargas
678323,Allan Cerda
678391,Jorbit Vivas
678489,Jorge Barrosa
678554,Curtis Mead
678577,Junior Perez
678662,Ezequiel Tovar
678742,Rainer Nunez
678746,Diego Hernandez
678854,Viandel Pena
678877,Jhonkensy Noel
678882,Ceddanne Rafaela
678894,Liover Peguero
679032,Johan Rojas
679529,Spencer Torkelson
679631,Terrin Vavra
679663,Stephen Scott
679734,Julio Carreras
679788,Jack Rogers
679821,William Jordan
679822,Justin Foscue
679845,Nicholas Loftin
680118,Dairon Blanco
680474,Maxwell Schuemann
680518,Zavier Warren
680519,Mario Camilletti
680574,Matthew McLain
680577,DaShawn Keirsey
680636,Ramon Mendoza
680642,Darlin Moquete
680672,Luke Waddell
680690,Korey Holland
680700,Richard Palacios
680711,Cole Roederer
680716,Jonathan Ornelas
680718,Addison Barger
680728,Adrian Del Castillo
680737,Michael Helman
680740,Kyle Hess
680753,Adam Hackenberg
680757,Steven Kwan
680769,Charles Alexander
680776,Jarren Duran
680777,Ryan Jeffers
680779,Henry Davis
680837,Ryan Fitzgerald
680862,William MacIver
680868,Patrick Winkel
680869,Zachary Gelof
680911,Owen Miller
680918,Brady Allen
680935,Connor Pavolony
680977,Brendan Donovan
680996,Luke Mann
681047,Christian Franklin
681082,Bryson Stott
681098,William Knight
681114,Michael Trautwein
681123,Luca Tresh
681132,Max Ferguson
681134,Caleb Roberts
681146,Jonah Bride
681172,Tyler Tolve
681184,Kevin Graham
681198,Toby Rumfield
681230,Bertram Murray
681275,Jose Gonzalez
681297,Colton Cowser
681351,Logan O'Hoppe
681370,Hudson Haskin
681375,Matthew Hogan
681393,Connor Norby
681460,Riley Baldwin
681481,Kerry Carpenter
681488,Logan Cerny
681508,Michael Gasper
681546,James Outman
681581,Andy Weber
681584,David Villar
681624,Andy Pages
681715,Heriberto Hernandez
681807,David Fry
681879,Nicholas Lucky
681909,Justin Dean
681962,Vincent Capra
681987,Nathan Eaton
682073,David Hensley
682119,Levi Jordan
682177,Daniel Schneemann
682183,Drew Avans
682192,Paul McIntosh
682265,David Clarke
682276,Jose Cordova
682515,Logan Porter
682618,Misael Urbina
682619,Orelvis Martinez
682622,Noelvi Marte
682626,Francisco Alvarez
682633,Eduardo Garcia
682634,Kevin Alcantara
682641,Luis Matos
682646,Jairo Pomares
682648,Juan Guerrero
682653,Warming Bernabel
682657,Angel Martínez
682663,Agustín Ramírez
682668,Luisangel Acuña
682679,Dayan Frias
682685,Cristian Gonzalez
682707,Jeremy De La Rosa
682729,Jonatan Clase
682732,Gabriel Moncada
682793,Bryan Gonzalez
682796,Eddinson Paulino
682799,Elio Prado
682801,Noelberth Romero
682829,Elly De La Cruz
682848,Endy Rodríguez
682868,Bryan Ramos
682877,Juan Brito
682927,Ronny Simon
682928,Paul Abrams
682942,Alex De Jesus
682985,Riley Greene
682987,Spencer Jones
682988,Tyler Locklear
682997,Tyler Callihan
682998,Corbin Carroll
683002,Gunnar Henderson
683011,Anthony Volpe
683021,Michael Stefanic
683079,Omar Martinez
683083,Nasim Nuñez
683090,Matthew Lugo
683145,Colin Barber
683146,Brett Baty
683169,Sean McLain
683172,Joseph Naranjo
683227,Cody Freeman
683233,Edward Hodo
683353,Connor Caskenette
683357,Owen Caissie
683454,Brayan Buelvas
683490,Javier D'Orazio
683493,William Lugo
683494,Euribiel Angeles
683569,Jose Colmenares
683610,Leandro Pineda
683679,Jesus Rodriguez
683734,Andrew Vaughn
683737,Michael Busch
683748,Victor Mesa
683766,Christian Koss
683770,Jonathan Robertson
683953,Travis Bazzana
684081,Erick Brito
684222,Jorge Burgos
684541,Sahid Valenzuela
684852,Geraldo Quintero
684922,Dalton Shuffield
684976,Johnathon Thomas
685091,Parker Chavers
685133,Wade Meckler
685301,Matthew Gorski
685332,Carlos Mendoza
685382,Andrew Navigato
685474,Felix Stevens
685744,Kenedy Corona
686217,Salvatore Frelick
686438,Rubel Cespedes
686445,Samuel Siani
686452,Andrew Millas
686469,Vincent Pasquantino
686475,Tyler Tolbert
686523,Peyton Wilson
686527,Dominic Canzone
686531,Andre Lipcius
686541,Andrew Compton
686551,Christian Cairo
686554,Oliver Dunn
686555,Isaac Collins
686611,Dylan Crews
686638,Hunter Fitz-Gerald
686639,John Dunn
686668,Brenton Doyle
686676,Korey Lee
686681,Michael Massey
686744,Jake Snider
686758,Dylan Shockley
686765,Nicholas Sogard
686780,Pedro Pagés
686797,Brooks Lee
686798,Yordys Valdes
686810,Brennan Milone
686823,William Brennan
686894,Joseph Wiemer
686948,Drake Baldwin
686958,Jose Torres
686960,Nathan Baez
686982,Jared McKenzie
686984,Marcus Lee Sang
687012,Tayler Aguilar
687069,Joshua Rivera
687071,Shane Sasaki
687093,Vaughn Grissom
687192,Cade Hunter
687201,Kevin Kilpatrick
687208,Nathaniel Hickey
687210,Nathan Martorella
687221,Dalton Rushing
687231,Darell Hernaiz
687248,Keshawn Ogans
687263,Zachary Neto
687285,Troy Schreffler
687310,Will Simpson
687363,Victor Scott
687394,Jack Brannigan
687401,Joseph Ortiz
687431,John Head
687462,Spencer Horwitz
687478,Cameron Devanney
687515,Colby Thomas
687521,Eric Brown
687529,Grant McCray
687551,Andrew Gilbert
687588,Micah Pries
687597,Jordan Beck
687605,Andrew Pinckney
687625,Kai Murphy
687627,Kody Huff
687628,Justin Boyd
687637,Dylan Beavers
687714,Jackson Cluff
687724,Jake Holton
687730,Caleb Cali
687749,Jase Bowen
687751,Cortland Lawson
687783,Matthew Wood
687859,Troy Johnston
687862,Cody Milligan
687867,Anthony Dungan
687952,Christian Encarnacion-Strand
687957,Dustin Harris
688005,Francisco Urbaez
688311,Drake Osborn
688363,Graham Pauley
688394,Jordan Sprinkle
688449,Terry Bowens
688457,Gavin Cross
688500,Stephen Paolini
688551,Addison Kopack
688617,Michael Snyder
688682,Cooper Bowman
688760,Linton Crim
688875,Trace Willhoite
689041,Rhylan Thomas
689070,Spencer Packard
689172,Brett Wisely
689200,Jacob Melton
689288,Matthew Koperniak
689302,Karson Simas
689414,Liam Hicks
689531,Brett Squires
689688,Ethan Workinger
689959,Caeden Trenkle
690022,Ryan Ritter
690291,Jace Jung
690443,Michael Antico
690448,Michael Jarvis
690469,Kyle Hayes
690474,Thomas Sacco
690804,Ryan Nicholson
690841,Matt O'Neill
690914,Brody Moore
690924,Braxton Fulford
690961,Enrique Bradfield
690976,Alexander Freeland
690984,Peter Halpin
690985,Colby Halter
690987,Robert Hassell
690988,Austin Hendrick
690993,Colten Keith
691001,Robert Moore
691002,Yohandy Morales
691016,Tyler Soderstrom
691019,Kyle Teel
691021,Aaron Vukovich
691023,Jordan Walker
691024,Cayden Wallace
691026,Masyn Winn
691176,Jasson Domínguez
691182,Adael Amador
691185,Maximo Acosta
691186,Arol Vera
691269,Adrian Placencia
691285,Junior Franco
691292,Angel Ortiz
691370,Juan Chacon
691373,Jhostynxon Garcia
691392,Johnny Ascanio
691398,Yerlin Confidan
691406,Junior Caminero
691408,Maick Collado
691442,Wilfred Veras
691588,Ian Lewis
691594,Javier Sanoja
691601,Brenny Escanio
691605,Miguel Briceno
691621,Jheremy Vargas
691645,Jefrey De Los Santos
691718,Pete Crow-Armstrong
691720,Kyle Karros
691723,Coby Mayo
691726,Jong Hyoun Sim
691728,Zachary Veen
691740,Daniel Susac
691775,Ryan Clifford
691777,Maxwell Muncy
691781,Brady House
691783,Jordan Lawlar
691785,Marcelo Mayer
691897,Diego Gonzalez
691907,Tsung-Che Cheng
691922,Javier Rivas
691939,Jake DeLeo
692039,Carlos Jimenez
692044,Luis Suisbel
692046,Axel Sanchez
692150,Emilien Pitre
692216,Collin Kayfus
692225,Kristian Campbell
692238,Thomas Harber
692390,Jose Cordoba
692489,Angel Del Rosario
692585,Yanquiel Fernández
692657,Omar Alfonzo
693049,Oscar Colás
693304,Nicholas Gonzales
693307,Francis Dingler
693409,Cesar Prieto
693459,Kyler Fedko
693832,Robert Richardson
694025,Felix Reyes
694065,Arxy Hernandez
694070,Yhoswar Garcia
694170,Dyan Jorge
694182,Armando Cruz
694186,Shalin Polanco
694192,Jackson Chourio
694193,Victor Acosta
694196,Diego Velasquez
694203,Denzer Guzman
694206,Daniel Guilarte
694208,Moisés Ballesteros
694211,Manuel Pena
694212,Samuel Basallo
694214,Samuel Zavala
694217,Willy Fanas
694224,Gabriel Gonzalez
694227,Danyer Cueva
694249,Cole Carrigg
694304,Cole Fontenelle
694318,Austin St. Laurent
694320,Jack Costello
694355,Tyler Gentry
694359,Nikolos Kavadas
694362,Blake Dunn
694369,Cole Foster
694371,Thomas Troy
694374,Timothy Tawa
694376,Shay Whitcomb
694377,Nicholas Yorke
694378,Jacob Gonzalez
694384,Nolan Schanuel
694385,Brock Wilken
694388,Mario Loperfido
694410,LuJames Groover
694425,Justice Bigbie
694444,Tavian Josenberger
694497,Evan Carter
694514,Sterlin Thompson
694580,Riley Alderman
694671,Wyatt Langford
694673,Abimelec Ortiz
694689,Dominic Pitelli
694728,Brice Matthews
694742,Joshua Moylan
694749,Dylan Campbell
694754,Sabin Ceballos
694806,Brandon Eike
694815,Jack Hurley
694829,Connor Burns
694834,Tyler Wilson
694838,Joseph Vetrano
694848,Samuel Brown
694876,John Ingle
694953,Christopher Pittaro
694974,Colby Shade
694977,Nathan Nankil
695020,Tanner Murray
695031,Joshua Zamora
695238,William Wagner
695257,William Cook
695336,Thomas Saggese
695342,Michael Davis
695391,Brett Harris
695462,Calvin Conley
695467,Juan Montero
695490,Edwin Arroyo
695501,Blake Burke
695506,Jeffrey Caglianone
695521,Gavin Conticello
695524,Jacob Cozart
695578,James Wood
695600,Carter Jensen
695603,Benjamin Montgomery
695604,Treylen White
695657,Colson Montgomery
695670,Harrison Ford
695681,Christian Moore
695692,Cooper Kinney
695720,Thomas White
695734,Daylen Lile
695735,Creed Willems
695930,Frederick Bencosme
696030,Tadeo Osuna
696100,Hunter Goodman
696135,Kahlil Watson
696140,Ethan Murray
696141,Ryan Wrobleski
696142,William Taylor
696160,Jacob Rucker
696264,Tyler Whitaker
696285,Jacob Young
696513,Andrew Garriola
696521,Garrett Spain
698929,Jesus Hernandez
698933,Ronald Hernandez
699013,Esmerlyn Valdez
699024,Leonardo Bernal
699027,Jose Suarez
699073,Thayron Liranzo
699114,Leonardo Balcazar
699130,Jadher Areinamo
699144,Luis Ravelo
699157,Ahbram Liendo
699166,Edgardo Ordonez
699228,Jakey Josepha
699229,Alexander Benua
699232,Anderdson Rojas
699302,Héctor Rodríguez
699305,Diego Mosquera
699615,Brandon Pimentel
699625,James Crooks
699912,Jose Fernandez
700032,Victor Labrada
700081,Jacob Thompson
700242,Trey Sweeney
700243,Payton Green
700246,Carson Williams
700250,Benjamin Rice
700283,Derlin Figueroa
700321,Andy Perez
700337,Edgar Quero
700652,Kenneth Piper
700681,Nicholas Lorusso
700731,Keiner Delgado
700845,Adam Zebrowski
700932,Kyle Manzardo
700936,Collin Burns
701158,Kobe Kato
701162,Benjamin Malgeri
701177,Nicholas Cimillo
701305,Zachary Dezenzo
701327,Elijah Green
701350,Roman Anthony
701358,Cameron Smith
701392,Marco Dinges
701398,Sal Stewart
701481,Ryan Campos
701496,Benjamin Cowles
701538,Jackson Merrill
701548,Jorge Camarillo
701587,Rodney Green Jr.
701649,James Triantos
701675,Nathan Church
701678,Hao-Yu  Lee
701689,Robert Honeycutt
701696,Ryan Stafford
701701,Quincy Scott
701762,Nicholas Kurtz
701805,Joshua Caron
701831,Carson DeMartini
701860,Carter Cunningham
702068,Leonard Gabrielson
702112,Hogan Windish
702140,Ruben Ibarra
702176,Alan Roden
702222,Justin Crawford
702258,Andruw Jones
702284,Cole Young
702302,Robert Schreck
702315,Bennett Hostetler
702331,Noah Mendlinger
702332,Caleb Durbin
702333,Haydn McGeary
702358,LaVictor Lipscomb
702391,Demetrio Nadal
702461,Kay-Lan Nicasia
702463,Aaron McKeithan
702467,Thomas Specht
702472,Austin Callahan
702488,Logan Wagner
702550,Chandler Pollard
702556,Austin Overn
702574,David Mershon
702616,Jackson Holliday
702679,Demetrio Crisantes
702685,Brenner Cox
702690,Cutter Coffey
702693,Jaison Chourio
702906,Wilfredo Lara
702920,Konner Piotto
702977,Dillon Head
703151,William Bergolla
703154,Yordany De Los Santos
703155,Lazaro Montes
703159,Simon Juan
703177,Jhonny Severino
703194,Randy De Jesus
703198,Kenni Gomez
703202,Leandro Arias
703205,Fraymi De Leon
703430,Anthony Scull
703601,Maxwell Clark
703606,Jared Thomas
703607,Henry Bolte
703804,Romeo Sanabria
800050,Chase DeLauter
800051,Austin Charles
800056,Jace Grady
800198,Cristofer Torin
800203,Kevyn Castillo
800253,Jeffrey Mercedes
800266,Yordalin Pena
800325,Luis Lara
800345,Juan Baez
800356,Franyer Noria
800377,Angel Mateo
800406,Aron Estrada
800440,Narciso Polanco
800448,Echedry Vargas
800506,Luis Sanchez
800522,Josue Briceño
800540,Hector Osorio
800683,Blake Rambusch
800724,Eric Bitonti
800765,Carter Howell
800957,Brendan Jones
800959,Nicholas Goodwin
801075,Walker Janek
801276,Juan Matheus
801406,Jared Dickey
801430,Brayden Jobert
801442,John Pineda
801629,Cade McGee
801822,Jackson Feltner
801881,Jacob Jenkins-Cowart
801938,Avery Owusu-Asiedu
801978,Michael Moss
802005,Gunner Gouldsmith
802117,Patrick Clohisy
802353,Christian Martin
802355,Tanner Schobel
802415,Chandler Simpson
802459,Ryan Johnson
802504,Myles-Jaxon Naylor
802541,Bryan Broecker
803011,Samuel Antonacci
803172,James O'Ferrall
803174,Anthony Stephan
803475,Colby Jones
803745,Adrian Santana
804240,Jacob Burke
804241,Zachary Levenson
804446,Edward Micheletti
804606,Konnor Griffin
804645,Caden Connor
804668,Rafael Flores
804858,Bryan Rincon
805075,Erick Torres
805126,Charles Szykowny
805234,Tyler Robertson
805249,Otto Kemp
805268,Peyton Williams
805300,Jakob Marsee
805347,James Jarvis
805367,Chase Meidroth
805373,Ignacio Alvarez
805672,Collin Price
805704,Keaton Anthony
805779,Jacob Wilson
805795,Aidan Miller
805796,Arjun Nimmala
805808,Kevin McGonigle
805811,Bryson Eldridge
805865,Michael Lipscomb
805904,Zachary Cole
805951,Boston Baro
806005,Ryan McCarty
806077,Kendall George
806146,George Lombard
806152,Walker Martin
